Author,Node full name,Node short name,Type of node,Start,End,Description,Image link,Video link,Location,Country,Location coordinates,Target participant qualifier 1,Target participant qualifier 2,Number of participants,Type of engagement,Type of audience,Duration,Made by,Inspired by,In opposition to,In response to,Associated / works with,Exhibited with,Exhibited at
VR,Guerrilla Girls,Guerrilla Girls,Artists,,,"The Guerrilla Girls are feminist activist artists. Over 55 people have been members over the years, wearing gorilla masks in public and using facts, humor and outrageous visuals to expose gender and ethnic bias as well as corruption in politics, art, film, and pop culture. Anonymity keeps the focus of public attention on the issues, and away from who the members of the collective might be. The Guerrilla Girls undermine the idea of a mainstream narrative by revealing the understory, the subtext, the overlooked, and the downright unfair. They believe in an intersectional feminism that fights discrimination and supports human rights for all people and all genders. They have done over 100 street projects, posters and stickers all over the world, including New York, Los Angeles, Minneapolis, Mexico City, Istanbul, London, Bilbao, Rotterdam, and Shanghai. They also take part in projects and exhibitions at museums, attacking them for their bad behavior and discriminatory practices right on their own walls.",,,,,,,,,,,,,,,,,,
VR,Complaints Department operated by the Guerrilla Girls,Complaints Department,Interventions,4/10/2016,9/10/2016,"In October 2016 the Guerrilla Girls operated a 'Complaints Department' at Tate Exchange, inviting individuals and organisations to come and conspire with them, post complaints about art, culture, politics, the environment, or any other issue they care about. Encouragement and materials were provided in the space, and thematic discussions encouraged participation and assisted the public in creating statements and projects to post on rolling bulletin boards. In addition, the Guerrilla Girls hosted ‘office hours’ when visitors could share their thoughts and complaints with them face to face.",http://images.tate.org.uk/sites/default/files/styles/width-600/public/img_6299_1.jpg?itok=sFlPzWP4,,"Tate Exchange, Tate Modern, London",UK,"51.5075953,-0.1015451",All,,,Mixed,Exhibition/museum visitors,6 days,Guerrilla Girls,,,,,,Tate Exchange
VR,Ai Weiwei,Ai Weiwei,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Ai Weiwei, Sunflower Seeds 2010","Ai Weiwei, Sunflower Seeds 2010",Other artwork,2010,,"Ai Weiwei's installation Sunflower Seeds was made up of millions of realistic, life-sized sunflower seed husks hand-crafted in porcelain, located on the floor of the Turbine Hall at Tate Modern between October 2010 and April 2011. Each seed had been individually sculpted and painted by specialists working in small-scale workshops in the Chinese city of Jingdezhen, especially employed by Ai for this project. Far from being industrially produced, they are the effort of hundreds of skilled hands, remunerated by the artist with a pay commensurate to their unique and time-consuming expertise. Poured into the interior of the Turbine Hall’s vast industrial space, the 100 million seeds formed a seemingly infinite landscape. Originally visitors were allowed to walk across the sculpture, but it was soon discovered that this could generate dust which could be damaging to health following sustained inhalation. As a consequence Tate, in consultation with the artist, decided to close off the area and kept the installation as an object for contemplation at a distance. A portion of the seeds, to be displayed either flat on the floor or in a conical mound, was then acquired for Tate's collection.",https://laurapett.files.wordpress.com/2010/10/ai-weiweis-sunflower-seed-006.jpg,https://www.youtube.com/watch?v=PueYywpkJW8,"Tate Modern, London",UK,"51.5075953,-0.1015451",All,Profession,,Instructed,Exhibition/museum visitors,,Ai Weiwei,,,,,,
VR,Cao Fei,Cao Fei,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Cao Fei, Whose Utopia? 2006","Cao Fei, Whose Utopia? 2006",Other artwork,2006,,"The video Whose Utopia? was made by Chinese artist Cao Fei and filmed at the OSRAM lighting factory in Foshan in the Pearl River Delta in southern China during 2005 and 2006. It was commissioned as part of a project entitled ‘What Are They Doing Here?’ that was run by the Siemens Art Program from 2000 to 2006 and involved Chinese artists undertaking six-month-long residencies at industrial facilities across the country. Cao Fei began her residency at OSRAM by sending a questionnaire to its employees that featured fifty questions, including ‘How do you feel about the factory?’, ‘Why did you decide to leave your home and go to the river delta?’ and ‘What do you hope to achieve in the future?’. The artist then invited fifty-five of her respondents to plan and participate in workshops in which they made installations and carried out performances, which she then filmed. The result is a twenty-minute video in three parts: the first, titled ‘Imagination of Product’, begins with a series of close-ups showing light bulb components being produced and assembled by automated machines, followed by scenes of people performing fast, repetitive tasks at their workstations. The second part, ‘Factory Fairytale’, shows individuals dancing and playing electric guitars inside the factory, often with staff working around them. The third part – ‘My Future is Not a Dream’ – shows individuals inside the factory, standing or sitting completely still and facing the camera, and in many of these scenes the operations of the factory continue around them. The film finishes with shots of people wearing white t-shirts bearing Cantonese characters that collectively spell out the phrase ‘My Future is Not a Dream’. Cao Fei has also suggested that Whose Utopia? was designed to encourage the OSRAM labourers to think about how they might work in a way that is more creative or fulfilling, stating in 2007 that "What this project does is release the workers from a standardised notion of productivity. What we are doing is production, but a type of production that connects back to the personal. I am like a social worker. They don’t regard me as an artist."""he video Whose Utopia? was made by Chinese artist Cao Fei and filmed at the OSRAM lighting factory in Foshan in the Pearl River Delta in southern China during 2005 and 2006. It was commissioned as part of a project entitled ‘What Are They Doing H",http://www.tate.org.uk/art/images/work/T/T12/T12754_10.jpg,,"Osram Factory, Foshan, Pearl River Delta, China",China,"23.2243948,112.50859",All,Profession,,Discursive,Mixed,,Cao Fei,,,,,,
VR,Jeremy Deller,Jeremy Deller,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Jeremy Deller, The Battle of Orgreave 2001","Deller, The Battle of Orgreave 2001",Performances,2001,,"The Battle of Orgreave was a performance organised by Jeremy Deller in 2001 as a historical re-enactment of the confrontation between striking coal miners and the police that occurred at the Orgreave Coking Plant in Yorkshire on 18 June 1984. 2001 reconstruction took place in Orgreave on 17 June, and its cast and expertise was drawn from more than twenty historical re-enactment societies under the direction of the re-enactment tactician Howard Giles, along with veterans of the original conflict drawn from both sides of the battle lines. For Deller, the specific historical event that unfolded at Orgreave stands as a symbol of the destruction of mining communities as well as the wider social fabric of the working class during the Thatcher government. Deller’s use of re-enactment societies and his subversion of their usual relationship to history are an important aspect of the subject and meaning of The Battle of Orgreave. For this work, as with most of his projects, Deller interacted and engaged with different social groups or communities to produce an artwork that can take many forms. Deller also created an installation, featuring an archive of research materials, documentation and objects put together by the artist with the title The Battle of Orgreave Archive (An Injury to One is an Injury to All). The installation, which also includes Mike Figgis’s documentary film of the re-enactment, is in Tate's collection.",https://photoworks.org.uk/wp-content/uploads/2013/07/Deller-image.jpg,https://www.youtube.com/watch?v=3ncrWxnxLjg,"Orgreave, South Yorkshire, UK",UK,"53.377725,-1.372188",All,Shared background,,Devised,Local community,,Jeremy Deller,,,,,,
VR,Judi Werthein,Judi Werthein,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Judi Werthein, Brinco 2005","Judi Werthein, Brinco 2005",Interventions,2005,,"For her project Brinco (2005), Werthein designed a special pair of trainers to assist illegal immigrants seeking to cross the Mexican-American border. The trainers include a map of the region printed on the sole, a compass, a mini-flashlight, a secret pocket to hide money and other features to aid migrants in the arduous and dangerous trek north. Approximately 1000 pairs of Brinco sneakers (meaning ‘to jump’ in Spanish) were produced in China. They were given away for free in Tijuana to Mexicans setting off for the border, and sold for over $200 as a limited edition in a high-end boutique in San Diego, with proceeds going to a shelter in Tijuana. Werthein examines how a simple pair of shoes can be a product of cheap labour in a globalised marketplace, a functional tool and a luxury commodity. An installation version of this work is now in Tate's collection.",https://vnarro.files.wordpress.com/2013/08/vbrinco.jpg,http://www.tate.org.uk/context-comment/video/irresistible-force-judi-werthein,"Tijuana, Mexico",Mexico,"32.4966818,-117.0878919",Ethnic/social group,Shared background,,Object interaction,Mixed,,Judi Werthein,,,,,,
,Claire Bishop,Claire Bishop,Researchers/Thinkers,,,,,,,,,,,,,,,,,Nicolas Bourriaud ,"Rirkrit Tiravanija, Liam Gillick, Santiago Sierra, Thomas Hirschhorn, ",,,
,Barbara Steveni,Barbara Steveni,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Pontus Hultén,Pontus Hultén,Curators,,,,,,,,,,,,,,,,,,,,,
VR,Kynaston McShine,Kynaston McShine,Curators,,,,,,,,,,,,,,,,,,,,,
VR,Tate Modern,Tate Modern,Institutions - Art,,,,,,,,,,,,,,,,,,,,,
,Tate Britain,Tate Britain,Institutions - Art,,,,,,"Millbank, London, UK",UK ,"51.4910635,-0.1453006",,,,,,,,,,,,,
VR,Centro de Arte y Comunicacion,CAyC,Institutions - Art,,,,,,"Buenos Aires, Argentina",Argentina ,"-34.6173059,-58.4973699",,,,,,,Jorge Glusberg,,,,"Nicolás García Uriburu, Cildo Meireles, Marta Minujin, Victor Grippo, Stuart Brisley",,
VR,"Plaza Roberto Arlt, Buenos Aires",Plaza Roberto Arlt,Public spaces,,,,,,"Buenos Aires, Argentina",Argentina ,"-34.6076728,-58.3802161",,,,,,,,,,,Jorge Glusberg,,
VR,CAyC al aire libre,CAyC al aire libre,Exhibitions,,,,,,,,,,,,,,,Jorge Glusberg,,,,,,Plaza Roberto Arlt
VR,Jorge Glusberg,Jorge Glusberg,Curators,,,,,,,,,,,,,,,,,,,,,
VR,Laboratoire Agit’Art,Laboratoire Agit’Art,Artists,,,"Founded in Dakar in 1974, Laboratoire Agit’Art was a revolutionary and subversive art collective that sought to combine traditional African performance and creativity with a modern aesthetic. Established by the artist Issa Samb, the filmmaker Djibril Diop Mambéty painter El Hadji Sy and the playwright Youssoupha Dione, Laboratoire Agit’Art were an interdisciplinary collective, devising street performances, improvisational happenings, installations and workshops. Although diverse in their practice, they were united in critiquing and challenging the prevailing négritude philosophy in Senegal. Their outlook was political, and community focused, publishing manifestos and creating installations out of street detritus that raised issues about African contemporary society. Today Laboratoire Agit’Art are considered to be one of the most influential African art collectives of the twentieth century. Audience participation was paramount to the group’s work, as was the privileging of communicative acts over the physical object.",http://images.tate.org.uk/sites/default/files/styles/grid-normal-12-cols/public/images/plehanov7.jpg?itok=94ujZ5ms,,"Dakar, Senegal",Senegal,"14.748692,-17.4022706",,,,,,,,,,,,,
VR,Information,Information,Exhibitions,02/07/1970,20/09/1970,"An exhibition curated by Kynaston McShine and held at MoMA in New York between 2 July and 20 September 1970. The exhibition presented videos and installations by 100 international (e.g. Vito Acconci, Art & Language, Daniel Buren, Cildo Meireles, Hans Haacke, Dennis Oppenheim, OHO Group, Adrian Piper, Grupo Frontera). It included an early example of dealing with publicly accessible archives within the context of an exhibition and some of the participating artists confronted the issues of political and media based contents. 'With an artworld that knows more readily about current work, through reproductions and the wide dissemination of information via periodicals, and that has been altered by television, films and satellites, as well as the 'jet', it is now possible for artists to be truly international; exchange with their peers is now comparatively simple. The art historian’s problem of who did what first is almost getting to the point of having to date by the hour. Increasingly artists use mail, telegrams, telex machines, etc., for transmission of works themselves—photographs, films, documents—or of information about their activity. For both artists and their public it is a stimulating and open situation, and certainly less parochial than even five years ago. It is no longer imperative for an artist to be in Paris or New York. Those far from the 'art centers' contribute more easily, without the often artificial protocol that at one time seemed essential for recognition.' (source: Kynaston McShine, 'Introduction to Information', in the catalogue)",https://monoskop.org/File:McShine_Kynaston_L_ed_Information_1970.jpg,,"MoMA, New York, USA ",USA ,"40.7614367,-73.9798103",,,,Mixed,,,Kynaston McShine,,,,,Cildo Meireles,
VR,"Cildo Meireles, Insertions into Ideological Circuits: Coca-Cola Project and Banknote Project","Meireles, Insertions into Ideological Circuits",Other artwork,1970,,"Meireles conceived his two Insertions into Ideological Circuits projects for an exhibition of conceptual art held at The Museum of Modern Art, New York in 1970 entitled Information. The Coca-Cola Project and the Cédula or Banknote Project explore the notion of circulation and exchange of goods, wealth and information as manifestations of the dominant ideology. For the Coca-Cola Project Meireles removed Coca-Cola bottles from normal circulation and modified them by adding critical political statements, or instructions for turning the bottle into a Molotov cocktail, before returning them to the circuit of exchange. On the bottles, such messages as ‘Yankees Go Home’ are followed by the work’s title and the artist’s statement of purpose: ‘To register informations and critical opinions on bottles and return them to circulation’. The Coca-Cola bottle is an everyday object of mass circulation; in 1970 in Brazil it was a symbol of US imperialism and it has become, globally, a symbol of capitalist consumerism. As the bottle progressively empties of dark brown liquid, the statement printed in white letters on a transparent label adhering to its side becomes increasingly invisible, only to reappear when the bottle is refilled for recirculation. The Banknote Project followed a similar structure, with texts containing information and critical messages being stamped onto banknotes that were then returned to circulation. In both projects, the messages are in a mixture of English and Portuguese. In 1970, when Meireles produced the Insertions into Ideological Circuits projects, Brazil was undergoing the most oppressive period of its twenty-one year government by military dictatorship. At the time, the Insertions constituted a form of guerrilla tactics of political resistance in order to elude the strict state censorship enforced by the regime. Meireles has commented: 'The Insertions into Ideological Circuits arose out of the need to create a system for the circulation and exchange of information that did not depend on any kind of centralized control. This would be a form of language, a system essentially opposed to the media of press, radio and television – typical examples of media that actually reach an enormous audience, but in the circulation systems of which there is always a degree of control and channelling of the information inserted ... The way I conceived it, the Insertions would only exist to the extent that they ceased to be the work of just one person. The work only exists to the extent that other people participate in it. What also arises is the need for anonymity. By extension, the question of anonymity involves the question of ownership. When the object of art becomes a practice, it becomes something over which you can have no control or ownership.'",http://www.tate.org.uk/art/images/work/T/T12/T12328_10.jpg,,"Brazil, ",Brazil ,"-22.9103552,-43.728535",,,,Object interaction,,Indefinite,Cildo Meireles,,,,Kynaston McShine,,Information
AF,"Suzanne Lacy, Silver Action ","Lacy, Silver Action ",Performances,01/11/2012,03/02/2013,"Suzanne Lacy's 'Silver Action' began its existence at Tate Modern as a series of workshops with potential performance participants. Women over the age of 60, who had links to activism and activist activities in the UK and beyond, were invited to share their experiences, to create timelines of significant personal and political historical events, and to answer broader questions about their position in contemporary society. These then became the basis for a one-day public performance in the Tanks at Tate Modern, where over three hundred women came together to expand and share these conversations. Some stories were dictated and projected onto the walls of the Tank, in other cases members of the public could listen to the women discussing, and a number of conversations were filmed. Existing activist groups were also invited to hold their regular meetings in the space, and the entire event was blogged and live-tweeted by young women bloggers. ",http://static1.squarespace.com/static/52aa861ce4b04dd8c25987fb/52ab6fcee4b0dc4f701743ff/52b6100ce4b031acfc4ab1c9/1387663373611/Silver+Action_Tate+Photography_21.small.jpg,,"The Tanks at Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",Gender identity,Elderly,c. 300,Mixed,Exhibition/museum visitors,"Workshops across three months, performance for six hours ",Suzanne Lacy,Lacy The Crystal Quilt,,,,,
AF,Fun Palaces,Fun Palaces,Interventions,1961,,"Fun Palaces were originally conceived of by Joan Littlewood and Cedric Price as literal venues within which communities and groups could participate in artistic activities, enjoy performances, or explore their capabilities and possibilities. Although these physical Fun Palaces were not realised in 1961, Stella Duffy instigated their contemporary counterpart in 2014 when speculating on a way to celebrate Littlewood's centenary year.  This stemmed from a session at 'Devoted and Disgruntled', annual Open Space event by 'Improbable', led by Stella Duffy entitled 'Who wants to do something for Joan Littlewood’s centenary in October 2014, that isn’t another revival?' From October 2014, the Fun Palaces became annual, moveable spaces for participation and engagement with art and science activities in local communities. Rather than being based in single spaces, Palace Makers could instigate a Fun Palace in any local space, across the world, by inviting those from the local community to design, facilitate, and participate in arts and science-based activities.  ",http://funpalaces.co.uk/wp-content/uploads/2015/02/Screen-Shot-2015-01-28-at-14.29.34.png,,,,,All,,"2014 - 138 Fun Palaces, 2014 and 2015 combined - 280 Fun Palaces, 5262 Fun Palace Makers, 90,000 General Participants ",Mixed,Local community,"The annual Fun Palaces are held across two days, the first weekend in October. Individual durations differ. ",Stella Duffy,"Joan Littlewood, Cedric Price ",,,,,
AF,Joan Littlewood,Joan Littlewood,Instigators,1914,2002,"Theatre director Joan Littlewood was the instigator, alongside Cedric Price, of the Fun Palaces, in 1961. Although the model was not realised at this point, it was revived as an idea in 2014 by Stella Duffy  ",https://en.wikipedia.org/wiki/Joan_Littlewood#/media/File:Joan_Littlewood.jpg,,,,,,,,,,,,,,,Cedric Price,,
AF,Cedric Price,Cedric Price,Instigators,1934,2003,"Architect Cedric Price collaborated with Joan Littlewood on the idea of the Fun Palace, conceived in the early 1960s. Although their early model, for a physical venue in which communities could experience art and culture together, did not come to fruition, Stella Duffy adapted the idea to fit existing spaces and the first Fun Palaces were realised in 2014. ",http://www.joh.cam.ac.uk/sites/default/files/imagecache/350px-wide/images/article_images/Cedric%20Price%20portrait_sm.jpg,,,,,,,,,,,,,,,Joan Littlewood,,
AF,Stella Duffy ,Stella Duffy ,Instigators,,,"In 2014, writer and theatre-maker Stella Duffy instigated the revival of Joan Littlewood and Cedric Price's idea for Fun Palaces. Conceptualising them as more flexible than the originating idea, and able to be facilitated by existing community spaces, Duffy and her collaborators began the movement to make the Fun Palaces an annual happening. ",https://stelladuffy.files.wordpress.com/2012/02/stellad-105hi.jpg,,,,,,,,,,,,"Joan Littlewood, Cedric Price",,,,,
AF,"Christoph Schlingensief, Please Love Austria - First Austria Coalition Week, 2000","Schlingensief, Please Love Austria",Interventions,09/06/2000,16/06/2000,"Over the period of a week, Christoph Schlingensief contained twelve Austrian asylum seekers in a blue box in a public square in Vienna. Their movements were broadcast on live stream and, in the manner of reality television, two were voted out each day. The shipping containers in which they lived for six days were flanked by right-wing party flags and the logo of popular tabloid newspapers in Austria, and excerpts from political speeches were broadcast across the site. The remaining asylum seeker, at the end of the process, was promised a cash prize and the possibility, through marriage, to remain in Austria; those who were voted out were reportedly deported to their native countries. ",,,"Herbert-von-Karajan-Platz, Vienna, Austria ",Austria ,"48.203386, 16.369370",Ethnic/social group,Shared background,12,Instructed,Passers-by,One week,Christoph Schlingensief,,,,,,"Double Agent ICA 2008, Vienna International Festival, "
,Christoph Schlingensief  ,Christoph Schlingensief,Artists,,,,,,,,,,,,,,,,,,,,,
,Mark Sladen,Mark Sladen,Curators,,,,,,,,,,,,,,,,,,,,,
AF,"Double Agent, ICA",Double Agent ,Exhibitions,14/02/2008,06/04/2008,,,,"Institute of Contemporary Art, London, UK",UK,"51.506334, -0.130919",,,,,,,"Claire Bishop, Mark Sladen ",,,,,,
AF,"Tania Bruguera, Tatlin's Whisper #6","Bruguera, Tatlin's Whisper #6",Performances,29/03/2009,,"Exhibited first in the 10th Havana Biennial, Tatlin's Whisper #6 was the sixth part of Tania Bruguera's exploration into the reception of decontextualised political actions, and issues of freedom of speech. Positioned in the centre of the Wifredo Lam Centre, Bruguera provied a dais, lecturn and microphone, and invited members of the public to come and talk for one minute about their response to the political and social situation in Cuba. Each speaker was flanked by two individuals in military uniform, and had a white dove placed on their arm, symbolic of Fidel Castro's first post-revolution speech. The audience was also given disposible cameras and asked to document the event. ",https://www.guggenheim.org/artwork/33083,,"Wifredo Lam Centre, Havana, Cuba",Cuba ,"23.141104, -82.351817",,,39 speaking participants ,Instructed,,41 minutes,Tania Bruguera,Christoph Schlingensief Please Love Austria - First Austria Coalition Week,,,,,
AF,Yo Tambien Exijo: A Restaging of Tatlin's Whisper #6 ,Yo Tambien Exijo,Interventions,11/04/2015,18/04/2015,"In response to artist Tania Bruguera's arrest in Cuba in December 2014, various arts institutions across the world re-staged her work Tatlin's Whisper #6 which invited members of the public to take the microphone and speak on a topic of their choice for one minute. In the re-staging, other artists and activists, as well as visitors to the public spaces or museums the work was hosted by, spoke on topics of their choice or read out pre-selected sections of texts related to free speech and liberty.The individual iterations were pulled together under the title 'Yo Tambien Exijo' - or 'I also demand'.   ",http://artforum.com/uploads/upload.001/id18753/article00.jpg,,,,,All,,,Instructed,Passers-by,,,Tania Bruguera Tatlin's Whisper #6,,,,,
AF,Yo Tambien Exijo: A Restaging of Tatlin's Whisper #6 ,Yo Tambien Exijo,Interventions,11/04/2015,18/04/2015,"In response to artist Tania Bruguera's arrest in Cuba in December 2014, various arts institutions across the world re-staged her work Tatlin's Whisper #6 which invited members of the public to take the microphone and speak on a topic of their choice for one minute. In the re-staging, other artists and activists, as well as visitors to the public spaces or museums the work was hosted by, spoke on topics of their choice or read out pre-selected sections of texts related to free speech and liberty.The individual iterations were pulled together under the title 'Yo Tambien Exijo' - or 'I also demand'.   ",,,"Time Square, New York, USA ",USA ,"40.758854, -73.985152",All,,,Instructed,Passers-by,,,Tania Bruguera Tatlin's Whisper #6,,,,,
AF,Yo Tambien Exijo: A Restaging of Tatlin's Whisper #6 ,Yo Tambien Exijo,Interventions,11/04/2015,18/04/2015,"In response to artist Tania Bruguera's arrest in Cuba in December 2014, various arts institutions across the world re-staged her work Tatlin's Whisper #6 which invited members of the public to take the microphone and speak on a topic of their choice for one minute. In the re-staging, other artists and activists, as well as visitors to the public spaces or museums the work was hosted by, spoke on topics of their choice or read out pre-selected sections of texts related to free speech and liberty.The individual iterations were pulled together under the title 'Yo Tambien Exijo' - or 'I also demand'.   ",,,"The Hammer Museum, Los Angeles, USA ",USA ,"34.059533, -118.443562",All,,,Instructed,Passers-by,,,Tania Bruguera Tatlin's Whisper #6,,,,,
AF,Yo Tambien Exijo: A Restaging of Tatlin's Whisper #6 ,Yo Tambien Exijo,Interventions,11/04/2015,18/04/2015,"In response to artist Tania Bruguera's arrest in Cuba in December 2014, various arts institutions across the world re-staged her work Tatlin's Whisper #6 which invited members of the public to take the microphone and speak on a topic of their choice for one minute. In the re-staging, other artists and activists, as well as visitors to the public spaces or museums the work was hosted by, spoke on topics of their choice or read out pre-selected sections of texts related to free speech and liberty.The individual iterations were pulled together under the title 'Yo Tambien Exijo' - or 'I also demand'.   ",,,"Van Abbemuseum, Eindhoven, Netherlands ",Netherlands ,"51.434587, 5.481960",All,,,Instructed,Passers-by,,,Tania Bruguera Tatlin's Whisper #6,,,,,
AF,Yo Tambien Exijo: A Restaging of Tatlin's Whisper #6 ,Yo Tambien Exijo,Interventions,11/04/2015,18/04/2015,"In response to artist Tania Bruguera's arrest in Cuba in December 2014, various arts institutions across the world re-staged her work Tatlin's Whisper #6 which invited members of the public to take the microphone and speak on a topic of their choice for one minute. In the re-staging, other artists and activists, as well as visitors to the public spaces or museums the work was hosted by, spoke on topics of their choice or read out pre-selected sections of texts related to free speech and liberty.The individual iterations were pulled together under the title 'Yo Tambien Exijo' - or 'I also demand'.   ",,,"Witte de With Centre for Contemporary Arts, Rotterdam, Netherlands.  ",Netherlands ,"51.915696, 4.477081",All,,,Instructed,Passers-by,,,Tania Bruguera Tatlin's Whisper #6,,,,,
AF,Yo Tambien Exijo: A Restaging of Tatlin's Whisper #6 ,Yo Tambien Exijo,Interventions,11/04/2015,18/04/2015,"In response to artist Tania Bruguera's arrest in Cuba in December 2014, various arts institutions across the world re-staged her work Tatlin's Whisper #6 which invited members of the public to take the microphone and speak on a topic of their choice for one minute. In the re-staging, other artists and activists, as well as visitors to the public spaces or museums the work was hosted by, spoke on topics of their choice or read out pre-selected sections of texts related to free speech and liberty.The individual iterations were pulled together under the title 'Yo Tambien Exijo' - or 'I also demand'.   ",,,"Tate Modern, London, UK",UK ,"51.5075953,-0.1015451",All,,,Instructed,Passers-by,2 hours,,Tania Bruguera Tatlin's Whisper #6,,,,,
AF,"Rirkrit Tiravanija, Untitled (Free) 1992","Tiravanija, Untitled (Free) 1992",Interventions,1992,,"In 1992, Rirkrit Tiravanija transformed an office at 303 Gallery in New York into a kitchen, where Thai green curry and rice were cooked and served to visitors to the installation. Visitors were able to sit and eat in the room, opening up a space of conversation and communality within the gallery. The work was re-created a number of times after this 'original', and the ephemera used in the original iteration also went into the collection at MoMA, New York. ",,,"303 Gallery, New York, USA ",USA,"40.747823, -74.007425",All,,,Object interaction,,,Rirkrit Tiravanija,"Marcel Duchamp, John Cage, Joseph Beuys",,,,,
AF,"Rirkrit Tiravanija, Untitled (Free) 2011","Tiravanija, Untitled (Free) 2011",Interventions,17/11/2011,08/02/2012,"Exhibited at MoMA within their exhibition 'Contemporary Galleries: 1980-Now', Rirkrit Tiravanija's Untitled (Free) was re-created. In a collaboration with the artist, the curators replicated the original back office curry kitchen to scale, and museum kitchen staff cooked and served the Thai green curry and rice eaten during the first iteration. ",http://www.moma.org/collection/works/147206,,"MoMA, New York, USA ",USA ,"40.761701, -73.977600",All,,,Object interaction,,Food served three hours per day ,Rirkrit Tiravanija,,,,,,
AF,"Roman Ondak, Measuring the Universe","Ondak, Measuring the Universe",Other artwork,14/05/2011,25/09/2011,"Roman Ondak's participatory work Measuring the Universe was installed in Gallery 5 at Tate St Ives. Installed in an initially empty, white gallery, the walls are gradually filled with markings, as visitors measure their height, and sign their mark with their name and the date. Over the course of the installation, the walls become fuller, with markings and signatures overlapping with one another. At the very end of the duration of the installation, the walls are painted white again, leaving no trace in the space. ",,,"Tate St Ives, Cornwall, UK ",UK ,"50.215000, -5.482402",All,,"90,000 estimated",Instructed,,Was installed for the duration of the Summer Season at Tate St Ives. ,Roman Ondak ,,,,,,
,Roman Ondak ,Roman Ondak ,Artists,,,,,,,,,,,,,,,,,,,,,dOCUMENTA (13)
AF,do it ,do it ,Exhibitions,1993,,"Instigated by Hans Ulrich Obrist, 'do it' explores the potential for openness within the museum exhibition. Artists are invited to contribute instructional artworks to the exhibition, which can then be interpreted by visitors, who enact the instructions. On certain occasions, groups from the local community, or related arts organisations, are invited to re-create the instructional artworks and create films or other documents related to this, which then form an extension of the exhibition. ",,,,,,All,,,Instructed,,,Hans Ulrich Obrist,,,,,,
,Hans Ulrich Obrist,Hans Ulrich Obrist,Curators,,,,,,,,,,,,,,,,,,,,,
AF,"Emily Roysdon, I am a Helicopter, Camera, Queen ","Roysdon, I am a Helicopter... ",Performances,31/05/2012,,"In response to her invitation to create a work specifically for Tate's 'Performance Room', a solely digital platform for live art, Emily Roysdon created the work I am a Helicopter, Camera, Queen. Through an open invitation, Roysdon assembled a group of around 100 voluntary participants, who were not necessarily artist themselves, but who self-identified as queer or feminist. Following a score set out by Roysdon, and shown visually on the floor of the room, the participants explored the space with their bodies, standing in different configurations, and moving to the limits of the room, before exceeding them by flowing out in the adjacent Turbine Hall. ",http://images.tate.org.uk/sites/default/files/styles/grid-normal-12-cols/public/images/eroysdon08.jpg?itok=9dhCkTzK,,"Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",LGBTQI,Shared background,110 (credited on Tate website as performers) ,Instructed,,13 minutes approx. ,Emily Roysdon,,,,,,
,Emily Roysdon,Emily Roysdon,Artists,,,,,,,,,,,,,,,,"Walid Raad, Joan Braderman, David Wojnarowicz  ",,, Mary Kelly ,,
,Walid Raad ,Walid Raad,Artists,,,,,,,,,,,,,,,,,,,,,
,Joan Braderman ,Joan Braderman,Artists,,,,,,,,,,,,,,,,,,,,,
,David Wojnarowicz,David Wojnarowicz,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Margaret Harrison, Kay Hunt and Mary Kelly, Women and Work: A Document on the Division of Labour in Industry 1973-75",Women and Work,Other artwork,1973,1975,"Between 1973 and 1975 artists Margaret Harrison, Kay Hunt and Mary Kelly conducted a detailed study of women's work in a metal box factory in Bermondsey. Their investigation was timed to coincide with the implementation of the Equal Pay Act (EPA), which had been passed in 1970. They drew together their findings to create an installation that was first displayed at the South London Art Gallery (now the South London Gallery) in 1975. Women and Work: A Document on the Division of Labour in Industry 1973-75 tells the stories of over 150 working women who participated in the project and offers a specific account of the participants' relationship to the workplace, as well as a more general examination of the changes in labour and industry brought about by the EPA. Harrison, Hunt and Kelly employed a sociological approach, collecting a vast amount of data through interviews, archival research and observation. Punch cards and rates of pay record the gap in wages between men and women, and films of life in the factory show women confined to repetitive, stationary and low-skilled tasks while men perform more physical and supervisory roles. The portraits and names of the female employees that are installed near the beginning of the display put human faces to the facts and figures. Women and Work was one of the earliest projects to tackle political and industrial issues from an overtly feminist perspective. The significance of the artists' intervention was recognized by factory management when they eventually banned Harrison, Hunt and Kelly from the site.",http://www.tate.org.uk/art/images/work/T/T07/T07797_9.jpg,,"Riley Road, London, UK ",UK ,"51.498614,-0.0779119",Gender identity,Profession,150,Discursive,,3 years,"Margaret Harrison, Kay Hunt, Mary Kelly",,,,,,"South London Gallery, Tate Britain, Tate Modern"
,South London Gallery,South London Gallery,Institutions - Art,,,,,,"Peckham, London, UK",UK ,"51.4741657,-0.0819076",,,,,,,,,,,,,
